1 	10 0.5 0.10312500000000001 0.6000000000000001 0.12187500000000001
2 	1 0.5 0.53046875 0.6000000000000001 0.11406250000000001
3 	18 0.5 0.26640625 0.6000000000000001 0.18281250000000002
4 	18 0.5 0.6000000000000001 0.6000000000000001 0.043750000000000004
5 	10 0.5 0.76171875 0.6000000000000001 0.2328125
6 	10 0.5 0.321875 0.6000000000000001 0.203125
7 	2 0.5 0.6125 0.6000000000000001 0.17500000000000002
8 	12 0.5 0.20390625 0.6000000000000001 0.2328125
9 	18 0.5 0.8367187500000001 0.6000000000000001 0.0859375
10 	18 0.5 0.721875 0.6000000000000001 0.08750000000000001
11 	15 0.5 0.478125 0.6000000000000001 0.565625
12 	10 0.5 0.76484375 0.6000000000000001 0.1171875
13 	0 0.5 0.18515625000000002 0.6000000000000001 0.1234375
14 	0 0.5 0.10703125000000001 0.6000000000000001 0.1203125
15 	18 0.5 0.6046875 0.6000000000000001 0.053125000000000006
16 	12 0.5 0.19062500000000002 0.6000000000000001 0.21875
17 	18 0.5 0.22968750000000002 0.6000000000000001 0.084375
18 	18 0.5 0.46875 0.6000000000000001 0.040625
19 	2 0.5 0.21484375 0.6000000000000001 0.11093750000000001
20 	0 0.5 0.51484375 0.6000000000000001 0.31093750000000003
21 	12 0.5 0.41953125 0.6000000000000001 0.3671875
22 	9 0.5 0.64453125 0.6000000000000001 0.18906250000000002
23 	10 0.5 0.19921875 0.6000000000000001 0.17343750000000002
24 	15 0.5 0.49531250000000004 0.6000000000000001 0.56875
25 	12 0.5 0.5945312500000001 0.6000000000000001 0.20468750000000002
26 	12 0.5 0.43515625 0.6000000000000001 0.34218750000000003
27 	15 0.5 0.35000000000000003 0.6000000000000001 0.19062500000000002
28 	2 0.5 0.33046875000000003 0.6000000000000001 0.0859375
29 	5 0.5 0.6195312500000001 0.6000000000000001 0.3359375
30 	10 0.5 0.525 0.6000000000000001 0.146875
31 	0 0.5 0.7445312500000001 0.6000000000000001 0.1640625
32 	13 0.5 0.42734375 0.6000000000000001 0.2859375
33 	16 0.5 0.53828125 0.6000000000000001 0.3765625
34 	10 0.5 0.12265625000000001 0.6000000000000001 0.09843750000000001
35 	10 0.5 0.215625 0.6000000000000001 0.18125000000000002
36 	13 0.5 0.5515625000000001 0.6000000000000001 0.33437500000000003
37 	18 0.5 0.56953125 0.6000000000000001 0.1203125
38 	18 0.5 0.3140625 0.6000000000000001 0.046875
39 	7 0.5 0.38046875 0.6000000000000001 0.2828125
40 	15 0.5 0.5203125000000001 0.6000000000000001 0.4
41 	12 0.5 0.5796875 0.6000000000000001 0.215625
42 	12 0.5 0.73046875 0.6000000000000001 0.3015625
43 	18 0.5 0.8343750000000001 0.6000000000000001 0.040625
44 	21 0.5 0.6484375 0.6000000000000001 0.08750000000000001
45 	2 0.5 0.6453125000000001 0.6000000000000001 0.043750000000000004
46 	10 0.5 0.8054687500000001 0.6000000000000001 0.1640625
47 	4 0.5 0.60703125 0.6000000000000001 0.3484375
48 	18 0.5 0.5109375 0.6000000000000001 0.16562500000000002
49 	12 0.5 0.6039062500000001 0.6000000000000001 0.2828125
50 	18 0.5 0.47968750000000004 0.6000000000000001 0.05
